23,36,転換するグリーン・ツーリズム : 広域連携と自立をめざして / 青木辰司著,"京都 : 学芸出版社 , 2010.5"
23,36,Pythonスタートブック : いちばんやさしいパイソンの本 / 辻真吾著,"東京 : 技術評論社 , 2010.5"
24,35,経営学入門 : 経験から学ぶ / 上林憲雄 [ほか] 著,"東京 : 有斐閣 , 2007.4 (有斐閣ブックス)"
24,35,"地域からのエコツーリズム : 観光・交流による持続可能な地域づくり / 敷田麻実編著 ; 森重昌之, 高木晴光, 宮本英樹著","京都 : 学芸出版社 , 2008.4"
24,35,博士の愛した数式 / 小川洋子著,"東京 : 新潮社 , 2005.12 (新潮文庫)"
24,35,観光まちづくり : まち自慢からはじまる地域マネジメント / 西村幸夫編著,"京都 : 学芸出版社 , 2009.2"
24,35,日本一のローカル線をつくる : たま駅長に学ぶ公共交通再生 / 小嶋光信著,"京都 : 学芸出版社 , 2012.2"
24,35,マスタリングTCP/IP / 竹下隆史 [ほか] 共著,"入門編. - 第5版. - 東京 : オーム社 , 2012.2"
24,35,何者 / 朝井リョウ著,"東京 : 新潮社 , 2012.11"
24,35,"ハンバーガーショップでむりなく学ぶ、やさしく楽しい統計学 / 向後千春, 冨永敦子著","東京 : 技術評論社 , 2007.10 (ファーストブック)"
25,34,近代中国の国際的契機 : 朝貢貿易システムと近代アジア / 浜下武志著,"東京 : 東京大学出版会 , 1990.9"
25,34,分子線エピタキシー / 権田俊一編著,"東京 : 培風館 , 1994.11 (アドバンストエレクトロニクスシリーズ / 菅野卓雄 [ほか] 監修)"
25,34,固体物理学入門 / Charles Kittel [著] ; 宇野良清 [ほか] 共訳,"上,下. - 第7版. - 東京 : 丸善 , 1998.2"
25,34,物質の対称性と群論 / 今野豊彦著,"東京 : 共立出版 , 2001.10"
25,34,"スポーツ・ヘルスツーリズム / 原田宗彦, 木村和彦編著","東京 : 大修館書店 , 2009.12 (スポーツビジネス叢書)"
25,34,旅猫リポート / 有川浩著,"東京 : 文藝春秋 , 2012.11"
26,33,はじめての統計学 / 鳥居泰彦著,"東京 : 日本経済新聞社 , 1994.11"
26,33,光物性入門 / 小林浩一著,"東京 : 裳華房 , 1997.4"
26,33,町家再生の論理 : 創造的まちづくりへの方途 / 宗田好史著,"京都 : 学芸出版社 , 2009.2"
26,33,観光の空間 : 視点とアプローチ / 神田孝治編著,"京都 : ナカニシヤ出版 , 2009.10"
26,33,量子力学 / 小形正男著,"東京 : 裳華房 , 2007.11 (裳華房テキストシリーズ - 物理学 / 阿部龍蔵, 川村清監修)"
26,33,"まちづくりを学ぶ : 地域再生の見取り図 / 石原武政, 西村幸夫編","東京 : 有斐閣 , 2010.9 (有斐閣ブックス)"
26,33,論文・レポートの基本 : この1冊できちんと書ける! / 石黒圭著,"東京 : 日本実業出版社 , 2012.3"
26,33,微分幾何学 / 今野宏著,"東京 : 東京大学出版会 , 2013.10 (大学数学の世界)"
27,32,物理のための数学 / 和達三樹著,"東京 : 岩波書店 , 1983.3 (物理入門コース / 戸田盛和, 中嶋貞雄編)"
27,32,数理統計学 / 稲垣宣生著,"改訂版. - 東京 : 裳華房 , 2003.2 (数学シリーズ / 佐武一郎, 村上信吾, 高橋礼司編)"
27,32,やさしく学べる微分方程式 / 石村園子著,"東京 : 共立出版 , 2003.11"
27,32,薄膜ハンドブック / 日本学術振興会薄膜第131委員会編,"第2版. - 東京 : オーム社 , 2008.3"
27,32,システム工学 / 室津義定 [ほか] 著,"第2版. - 東京 : 森北出版 , 2006.3"
27,32,"入門人的資源管理 / 奥林康司, 上林憲雄, 平野光俊編著","第2版. - 東京 : 中央経済社 , 2010.4"
27,32,ガロワ理論 / デイヴィッド・A. コックス著 ; 梶原健訳,"上,下. - 東京 : 日本評論社 , 2008.11-2010.9"
27,32,"金持ち父さん貧乏父さん : アメリカの金持ちが教えてくれるお金の哲学 / ロバート・キヨサキ, シャロン・レクター著 ; 白根美保子訳","東京 : 筑摩書房 , 2000.11"
27,32,"アイデア発想法と協同作業支援 / 宗森純, 由井薗隆也, 井上智雄著","東京 : 共立出版 , 2014.5 (未来へつなぐデジタルシリーズ = Connection to the future with digital series)"
27,32,深層学習 = Deep learning / 岡谷貴之著,"東京 : 講談社 , 2015.4 (MLP機械学習プロフェッショナルシリーズ)"
28,31,"システム制御理論入門 / 小郷寛, 美多勉共著","東京 : 実教出版 , 1979.12"
28,31,ベースボールと日本野球 : 打ち勝つ思考、守り抜く精神 / 佐山和夫著,"東京 : 中央公論社 , 1998.8 (中公新書)"
28,31,代数曲線入門 : はじめての代数幾何 / 梶原健著,"東京 : 日本評論社 , 2004.8 (日評数学選書)"
28,31,TOEICテスト新公式問題集 / Educational Testing Service著 ; 国際ビジネスコミュニケーション協会TOEIC運営委員会編,"[vol. 1] - vol. 6. - [東京] : 国際ビジネスコミュニケーション協会TOEIC運営委員会. - 東京 : 国際コミュニケーションズ・スクール (発売) , 2005.12-"
28,31,どんどん話すための瞬間英作文トレーニング : 反射的に言える / 森沢洋介著,"東京 : ベレ出版 , 2006.10 (CD book)"
28,31,観光文化学 / 山下晋司編,"東京 : 新曜社 , 2007.12"
28,31,告白 / 湊かなえ著,"東京 : 双葉社 , 2008.8"
28,31,"確率ロボティクス / セバスチャン・スラン, ウルフラム・バーガード, ディーター・フォックス著 ; 上田隆一訳","東京 : 毎日コミュニケーションズ , 2007.10 (MYCOM ROBOT books)"
28,31,戦略的ブランド・マネジメント / ケビン・レーン・ケラー著 ; 恩蔵直人監訳 ; バベル訳,"第3版. - 東京 : 東急エージェンシー , 2010.4"
28,31,都市と農村 : 交流から協働へ / 橋本卓爾 [ほか] 編,"東京 : 日本経済評論社 , 2011.3"
28,31,例題で学ぶ光学入門 / 谷田貝豊彦著,"東京 : 森北出版 , 2010.6"
28,31,BoPビジネス戦略 : 新興国・途上国市場で何が起こっているか / 野村総合研究所著,"東京 : 東洋経済新報社 , 2010.11"
28,31,"スバラシク実力がつくと評判の複素関数キャンパス・ゼミ : 大学の数学がこんなに分かる!単位なんて楽に取れる! / 馬場敬之, 高杉豊著","川口 : マセマ出版社 , 2006.7"
28,31,陽だまりの彼女 / 越谷オサム著,"東京 : 新潮社 , 2011.6 (新潮文庫)"
28,31,ツナグ / 辻村深月著,"東京 : 新潮社 , 2012.9 (新潮文庫)"
